From	To	Species	Gene Name
NP_253194	259681007	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4504)
NP_253194	300587309	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA4504)
NP_253195	15599701	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4505)
NP_253195	9950745	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4505)
NP_253195	218280368	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA4505)
NP_251172	15597678	Pseudomonas aeruginosa PAO1	cytochrome C(PA2482)
NP_251172	9948534	Pseudomonas aeruginosa PAO1	cytochrome C(PA2482)
NP_249014	9946170	Pseudomonas aeruginosa PAO1	ABC transporter(PA0323)
NP_249014	15595520	Pseudomonas aeruginosa PAO1	ABC transporter(PA0323)
NP_253190	15599696	Pseudomonas aeruginosa PAO1	ABC transporter(PA4500)
